time,dt,elapsed,heat_out_cumulative,produced_T,produced_T_cumulative
0,0,0,0,28.6,0
0.001,0.001,3.997414211,0,150,0.0016483516483516
0.003,0.002,5.438507,0,150,0.0049450549450549
0.007,0.004,6.89186956,0,150,0.011538461538462
0.015,0.008,8.337765817,0,150,0.024725274725275
0.031,0.016,9.820227973,0,150,0.051098901098901
0.063,0.032,11.286458417,0,150,0.10384615384615
0.127,0.064,13.145471022,0,150,0.20934065934066
0.255,0.128,14.996590156,0,150,0.42032967032967
0.511,0.256,16.846271233,0,150,0.84230769230769
1.023,0.512,19.176394047,0,150,1.6862637362637
2.023,1,21.062064713,0,150,3.3346153846154
3.023,1,23.413074044,0,150,4.982967032967
4.023,1,25.305840956,0,150,6.6313186813187
5.023,1,27.160309113,0,150,8.2796703296703
6.023,1,29.048223279,0,150,9.928021978022
7.023,1,30.981422437,0,150,11.576373626374
8.023,1,32.844065515,0,150,13.224725274725
9.023,1,34.719384611,0,150,14.873076923077
10.023,1,36.579104733,0,150,16.521428571429
11.023,1,38.498682873,0,150,18.16978021978
12.023,1,40.400981005,0,150,19.818131868132
13.023,1,42.268242882,0,150,21.466483516484
14.023,1,44.137577916,0,150,23.114835164835
15.023,1,46.042304547,0,150,24.763186813187
16.023,1,47.981391122,0,150,26.411538461538
17.023,1,49.899266331,0,150,28.05989010989
18.023,1,51.80784483,0,150,29.708241758242
19.023,1,53.690670387,0,150,31.356593406593
20.023,1,55.594934402,0,150,33.004945054945
21.023,1,57.480493875,0,150,34.653296703297
22.023,1,59.365786463,0,150,36.301648351648
23.023,1,61.267831704,0,150,37.95
24.023,1,63.161880252,0,150,39.598351648352
25.023,1,65.061303674,0,150,41.246703296703
26.023,1,66.986545549,0,150,42.895054945055
27.023,1,68.933008313,0,150,44.543406593407
28.023,1,70.847207026,0,150,46.191758241758
29.023,1,72.742637095,0,150,47.84010989011
30.023,1,74.641283281,0,150,49.488461538462
31.023,1,76.134201151,0,150,51.136813186813
32.023,1,78.019627705,0,150,52.785164835165
33.023,1,79.978548984,0,150,54.433516483517
34.023,1,81.901005511,0,150,56.081868131868
35.023,1,83.38371179,0,150,57.73021978022
36.023,1,84.861865279,0,150,59.378571428571
37.023,1,86.344696568,0,150,61.026923076923
38.023,1,88.273697965,0,150,62.675274725275
39.023,1,90.17656172,0,150,64.323626373626
40.023,1,91.660890412,0,150,65.971978021978
41.023,1,93.143684636,0,150,67.62032967033
42.023,1,94.658678603,0,150,69.268681318681
43.023,1,96.562651855,0,150,70.917032967033
44.023,1,98.467733523,0,150,72.565384615385
45.023,1,100.397138503,0,150,74.213736263736
46.023,1,101.899281368,0,150,75.862087912088
47.023,1,103.409927482,0,150,77.51043956044
48.023,1,104.892351501,0,150,79.158791208791
49.023,1,106.379759917,0,150,80.807142857143
50.023,1,108.313418295,0,150,82.455494505495
51.023,1,110.218812262,0,150,84.103846153846
52.023,1,111.729737127,0,150,85.752197802198
53.023,1,113.231518232,0,150,87.40054945055
54.023,1,114.73438969,0,150,89.048901098901
55.023,1,116.237665192,0,150,90.697252747253
56.023,1,117.764573943,0,150,92.345604395604
57.023,1,119.696352204,0,150,93.993956043956
58.023,1,121.618769854,0,150,95.642307692308
59.023,1,123.11614878,0,150,97.290659340659
60.023,1,124.631941235,0,150,98.939010989011
61.023,1,126.555884482,0,150,100.58736263736
62.023,1,128.052695403,0,150,102.23571428571
63.023,1,129.606184911,0,150,103.88406593407
64.023,1,131.543203539,0,150,105.53241758242
65.023,1,133.031892879,0,150,107.18076923077
66.023,1,134.578796123,0,150,108.82912087912
67.023,1,136.087173338,0,150,110.47747252747
68.023,1,137.60295686,0,150,112.12582417582
69.023,1,139.524701384,0,150,113.77417582418
70.023,1,141.016884137,0,150,115.42252747253
71.023,1,142.554616894,0,150,117.07087912088
72.023,1,144.058187524,0,150,118.71923076923
73.023,1,146.038520431,0,150,120.36758241758
74.023,1,148.012154105,0,150,122.01593406593
75.023,1,149.545712373,0,150,123.66428571429
76.023,1,151.044931081,0,150,125.31263736264
77.023,1,152.586195043,0,150,126.96098901099
78.023,1,154.095277636,0,150,128.60934065934
79.023,1,155.607252754,0,150,130.25769230769
80.023,1,157.108385715,0,150,131.90604395604
81.023,1,158.600164932,0,150,133.5543956044
82.023,1,160.098347416,0,150,135.20274725275
83.023,1,161.630206209,0,150,136.8510989011
84.023,1,163.132963553,0,150,138.49945054945
85.023,1,165.077556741,0,150,140.1478021978
86.023,1,167.041887638,0,150,141.79615384615
87.023,1,168.595456022,0,150,143.44450549451
88.023,1,170.119655594,0,150,145.09285714286
89.023,1,171.635743038,0,150,146.74120879121
90.023,1,173.129213729,0,150,148.38956043956
91,0.977,174.663883832,0,150,150
92,1,176.619901577,0,149.93520304791,151.64763959393
93,1,178.167552748,0,149.86904147841,153.29455213765
94,1,179.702491291,0,149.80096318262,154.94071656823
95,1,181.239281217,0,149.73151626684,156.58611784589
96,1,182.761319132,0,149.66100375764,158.23074426081
97,1,184.294877009,0,149.58958004767,159.87458579979
98,1,185.816378534,0,149.51732081741,161.5176332813
99,1,187.37626767,0,149.44425918465,163.15987788773
100,1,188.875687365,0,149.37040733822,164.8013109354
101,1,190.388608002,0,149.29577034125,166.44192379629
102,1,191.912304402,0,149.2203503679,168.08170786627
103,1,193.436174673,0,149.14414918822,169.72065456065
104,1,194.951252045,0,149.06717033304,171.35875533354
