time,dt,elapsed,heat_out_cumulative,produced_T,produced_T_cumulative
0,0,0,0,40.6,0
0.001,0.001,12.703564451,0,200,0.6000600060006
0.003,0.002,16.865230982,0,200,1.8001800180018
0.007,0.004,20.880640704,0,200,4.2004200420042
0.015,0.008,25.695059203,0,200,9.000900090009
0.025,0.01,29.884129519,0,200,15.001500150015
0.035,0.01,33.122464317,0,200,21.002100210021
0.045,0.01,35.831036247,0,200,27.002700270027
0.055,0.01,39.077569267,0,200,33.003300330033
0.065,0.01,41.74449742,0,200,39.003900390039
0.075,0.01,44.944101567,0,200,45.004500450045
0.085,0.01,47.603805663,0,200,51.005100510051
0.095,0.01,50.21391723,0,200,57.005700570057
0.105,0.01,53.359766459,0,200,63.006300630063
0.115,0.01,56.568819738,0,200,69.006900690069
0.125,0.01,59.823161986,0,200,75.007500750075
0.135,0.01,62.451500182,0,200,81.008100810081
0.145,0.01,65.237616697,0,200,87.008700870087
0.155,0.01,67.847632436,0,200,93.009300930093
0.165,0.01,70.487676239,0,200,99.009900990099
0.175,0.01,73.149858494,0,200,105.01050105011
0.185,0.01,75.806239972,0,200,111.01110111011
0.195,0.01,78.450424428,0,200,117.01170117012
0.205,0.01,80.492522974,0,200,123.01230123012
0.215,0.01,83.139836335,0,200,129.01290129013
0.225,0.01,85.803795888,0,200,135.01350135014
0.235,0.01,87.845018815,0,200,141.01410141014
0.245,0.01,89.88527631,0,200,147.01470147015
0.255,0.01,91.968703694,0,200,153.01530153015
0.265,0.01,94.004726221,0,200,159.01590159016
0.275,0.01,96.632177374,0,200,165.01650165017
0.285,0.01,98.68227373,0,200,171.01710171017
0.295,0.01,100.753494901,0,200,177.01770177018
0.305,0.01,102.803353528,0,200,183.01830183018
0.315,0.01,105.470561662,0,200,189.01890189019
0.325,0.01,107.533252309,0,200,195.0195019502
0.3333,0.0082999999999999,109.622451868,0,200,200
0.3433,0.01,112.304481497,0,199.55428555991,205.98722728953
0.3533,0.01,114.360414085,0,199.45927898819,211.97160409685
0.3633,0.01,116.421650093,0,199.40700982517,217.95441267247
0.3733,0.01,118.492195638,0,199.37115849315,223.93614560055
0.3833,0.01,120.557147558,0,199.34372205532,229.91705535319
0.3933,0.01,122.608344261,0,199.32131883241,235.89729294192
0.4033,0.01,124.809370118,0,199.30222763119,241.87695773733
0.4133,0.01,126.847614366,0,199.28546104651,247.8561194849
0.4233,0.01,128.908225496,0,199.27040544758,253.83482951933
0.4333,0.01,130.97368862,0,199.25665530646,259.81312700828
0.4433,0.01,133.045071792,0,199.24392981162,265.79104269419
0.4533,0.01,135.093433768,0,199.23202748056,271.76860127447
0.4633,0.01,137.179514195,0,199.22079975856,277.7458229894
0.4733,0.01,139.256399252,0,199.2101347416,283.72272472182
0.4833,0.01,141.357906595,0,199.1999463017,289.69932077047
0.4933,0.01,143.418588732,0,199.19016666335,295.67562340064
0.5,0.0066999999999999,145.494111597,0,199.18378071572,299.67961779246
0.505,0.005,236.248104359,12761785703.441,198.87653714768,302.66306419432
0.51,0.005,238.923900637,25517966726.699,198.81708283219,305.64561869225
0.515,0.005,321.824658402,38270732401.579,198.7802660198,308.62762088277
0.52,0.005,338.613177621,51020734321.115,198.7490104962,311.60915419354
0.53,0.01,341.283629397,76510400235.24,198.68521922706,317.57030688562
0.54,0.01,343.93554306,101987510301.63,198.60138897142,323.52894441852
0.545,0.005,431.272328976,114722524400.38,198.55281195118,326.50753445679
0.5475,0.0025,547.614156518,121089036051,198.52508670421,327.99662151578
0.55,0.0025,549.686879271,127454538931.29,198.49685559749,329.48549682029
0.555,0.005,551.757878078,140180767023.45,198.42892767155,332.46222840852
0.565,0.01,553.937977307,165604766748.14,198.22201619584,338.40948361992
0.575,0.01,556.055723695,190987611773.25,197.91910845286,344.34765069021
0.585,0.01,558.142649533,216312967358.43,197.4930471584,350.27303464336
0.595,0.01,560.224827434,241560766960.44,196.91581772488,356.18109998164
0.605,0.01,562.359073493,266707292789.23,196.15986437788,362.06648445142
0.615,0.01,565.074575265,291725374912.78,195.19897506523,367.92303935887
0.625,0.01,567.167582673,316584750321.72,194.00939382241,373.74390325993
0.635,0.01,569.278636597,341252451269.98,192.57000002716,379.52158102852
0.645,0.01,571.336633389,365693275246.8,190.86299040912,385.24804338703
0.655,0.01,573.419789069,389870288633.39,188.87406453714,390.91483200201
0.665,0.01,576.070597336,413745323479.58,186.5925326382,396.51316781474
0.675,0.01,578.136604027,437279566107.98,184.01222501834,402.03408665717
0.685,0.01,580.197567271,460434085809.17,181.13035453018,407.46854073848
0.695,0.01,582.302393037,483170231186.37,177.9461991353,412.80746060453
0.705,0.01,584.377125593,505450115975.94,174.46442433409,418.04191678017
0.715,0.01,586.467874592,527237276775.14,170.69381512295,423.16324336652
0.725,0.01,588.526431291,548497360262.58,166.64855787154,428.16320009834
0.735,0.01,590.626718175,569198617918.23,162.34855683764,433.03414389785
0.745,0.01,592.71133596,589312553127.84,157.81520004914,437.76907339227
0.755,0.01,597.287139594,608814290777.06,153.07630386015,442.36182178291
0.765,0.01,599.3552122,627683106612.87,148.1631788414,446.80716168214
0.775,0.01,601.428756532,645902922627.69,143.11260404726,451.10096918431
0.785,0.01,603.506079873,663462920286.64,137.96382845879,455.24029797095
0.795,0.01,606.185663152,680357694831.36,132.75997131111,459.22349543003
0.805,0.01,608.248575685,696587518936.35,127.54631732873,463.05026762711
0.815,0.01,611.510985963,712158391845.32,122.36995776733,466.72173350672
0.825,0.01,613.575645097,727082082526.59,117.27487198586,470.2403315261
0.8333,0.0082999999999998,615.650582818,739032357508.68,113.12893728243,473.05752378366
0.8383,0.005,633.754766856,739032357508.68,113.39728815745,474.75865321896
0.8433,0.005,635.822889123,739032357508.68,113.40722261272,476.459931686
0.8533,0.01,637.873620348,739032357508.68,113.36165623682,479.86112149209
0.8633,0.01,639.940238366,739032357508.68,113.29757288132,483.26038860524
0.8733,0.01,641.997445753,739032357508.68,113.22552818613,486.65749416138
0.8833,0.01,644.069954613,739032357508.68,113.14929532362,490.05231250292
0.8933,0.01,646.126856066,739032357508.68,113.07061001678,493.44477004918
0.9033,0.01,648.208708266,739032357508.68,112.99040499236,496.83482120406
0.9133,0.01,650.336237507,739032357508.68,112.90923542322,500.22243702834
0.9233,0.01,652.424812611,739032357508.68,112.82745549048,503.60759920928
0.9333,0.01,654.514739908,739032357508.68,112.74530228437,506.99029654754
0.9433,0.01,656.60388318,739032357508.68,112.66293993381,510.37052276818
0.9533,0.01,658.657002922,739032357508.68,112.58048470884,513.74827508467
0.9633,0.01,660.716608496,739032357508.68,112.49802021288,517.12355321887
0.9733,0.01,662.785387826,739032357508.68,112.41560708218,520.49635871189
0.9833,0.01,664.859783708,739032357508.68,112.33328942831,523.86669442831
0.9933,0.01,666.33174647,739032357508.68,112.2510960424,527.23456409655
1,0.0066999999999998,667.828873723,739032357508.68,112.19609281095,529.48993109875
1.005,0.005,696.915292048,739032357508.68,200,532.49023112875
1.01,0.005,699.554523177,739032357508.68,200,535.49053115875
1.02,0.01,708.058611241,739032357508.68,200,541.49113121876
1.03,0.01,710.70341364,739032357508.68,200,547.49173127877
1.04,0.01,713.958661018,739032357508.68,200,553.49233133877
1.05,0.01,716.630104081,739032357508.68,200,559.49293139878
1.06,0.01,719.279628417,739032357508.68,200,565.49353145878
1.07,0.01,721.99139495,739032357508.68,200,571.49413151879
1.08,0.01,724.656145018,739032357508.68,200,577.4947315788
1.09,0.01,727.313281171,739032357508.68,200,583.4953316388
1.1,0.01,729.94038173,739032357508.68,200,589.49593169881
1.11,0.01,732.58924725,739032357508.68,200,595.49653175881
1.12,0.01,734.659476026,739032357508.68,200,601.49713181882
1.13,0.01,737.311058224,739032357508.68,200,607.49773187883
1.14,0.01,739.367812572,739032357508.68,200,613.49833193883
1.15,0.01,742.003336322,739032357508.68,200,619.49893199884
1.16,0.01,744.06518146,739032357508.68,200,625.49953205884
1.17,0.01,746.755823999,739032357508.68,200,631.50013211885
1.18,0.01,748.83654477,739032357508.68,200,637.50073217886
1.19,0.01,751.474687607,739032357508.68,200,643.50133223886
1.2,0.01,753.541248455,739032357508.68,200,649.50193229887
1.21,0.01,756.187298341,739032357508.68,200,655.50253235888
1.22,0.01,758.823845721,739032357508.68,200,661.50313241888
1.23,0.01,760.897901325,739032357508.68,200,667.50373247889
1.24,0.01,763.665469504,739032357508.68,200,673.50433253889
1.25,0.01,766.33584876,739032357508.68,200,679.5049325989
1.26,0.01,768.400678889,739032357508.68,200,685.50553265891
1.27,0.01,770.480359497,739032357508.68,200,691.50613271891
1.28,0.01,772.573038641,739032357508.68,200,697.50673277892
1.29,0.01,774.650197599,739032357508.68,200,703.50733283892
1.3,0.01,776.744680791,739032357508.68,200,709.50793289893
1.31,0.01,779.429117226,739032357508.68,200,715.50853295894
1.32,0.01,781.495504448,739032357508.68,200,721.50913301894
1.33,0.01,783.571987611,739032357508.68,200,727.50973307895
1.3333,0.0032999999999999,785.62217831,739032357508.68,200,729.48993109875
1.3433,0.01,787.688614572,739032357508.68,199.56141912833,735.47737241673
1.3533,0.01,789.746175806,739032357508.68,199.47157517977,741.4621181467
1.3633,0.01,791.83375136,739032357508.68,199.42292773982,747.44540430751
1.3733,0.01,793.984536041,739032357508.68,199.39025820878,753.42771028437
1.3833,0.01,796.089476719,739032357508.68,199.36578587745,759.40928201787
1.3933,0.01,798.164665239,739032357508.68,199.34620016017,765.39026612108
1.4033,0.01,800.263734584,739032357508.68,199.32981162216,771.37075851899
1.4133,0.01,802.32542477,739032357508.68,199.31565124981,777.35082606324
1.4233,0.01,804.413066203,739032357508.68,199.30311673893,783.33051753455
1.4333,0.01,806.489721683,739032357508.68,199.2918110221,789.30986980044
1.4433,0.01,808.597014772,739032357508.68,199.28146038349,795.28891151612
1.4533,0.01,810.648261279,739032357508.68,199.27186963976,801.26766548071
1.4633,0.01,812.736387167,739032357508.68,199.26289546077,807.246150193
1.4733,0.01,814.80846217,739032357508.68,199.25443004885,813.22438091754
1.4833,0.01,816.911910377,739032357508.68,199.24639056952,819.20237043357
1.4933,0.01,818.977057713,739032357508.68,199.23871222461,825.18012957623
