time,dt,elapsed,heat_out_cumulative,produced_T,produced_T_cumulative
0,0,0,0,22.05,0
0.00025,0.00025,40.95018582,0,150,0.11251125112511
0.0005,0.00025,44.580513459,0,150,0.22502250225022
0.001,0.0005,49.269016993,0,150,0.45004500450045
0.002,0.001,55.492372034,0,150,0.9000900090009
0.003,0.001,78.069818517,0,150,1.3501350135013
0.004,0.001,82.828193151,0,150,1.8001800180018
0.006,0.002,93.096419112,0,150,2.7002700270027
0.007,0.001,254.723401261,0,150,3.1503150315031
0.008,0.001,257.72412206,0,150,3.6003600360036
0.01,0.002,264.184981072,0,150,4.5004500450045
0.012,0.002,286.000755504,0,150,5.4005400540054
0.014,0.002,290.295492707,0,150,6.3006300630063
0.016,0.002,311.07395253,0,150,7.2007200720072
0.018,0.002,314.717315679,0,150,8.1008100810081
0.02,0.002,337.225247489,0,150,9.000900090009
0.022,0.002,341.958094818,0,150,9.9009900990099
0.024,0.002,362.451685665,0,150,10.801080108011
0.026,0.002,366.130760796,0,150,11.701170117012
0.03,0.004,372.570933983,0,150,13.501350135013
0.034,0.004,395.224499181,0,150,15.301530153015
0.038,0.004,400.013379549,0,150,17.101710171017
0.042,0.004,421.728877,0,150,18.901890189019
0.046,0.004,425.457340026,0,150,20.702070207021
0.054,0.008,436.694977841,0,150,24.302430243024
0.059,0.005,473.825536825,0,150,26.552655265527
0.064,0.005,478.562370994,0,150,28.802880288029
0.069,0.005,500.294854814,0,150,31.053105310531
0.074,0.005,503.98664344,0,150,33.303330333033
0.079,0.005,591.716140155,0,150,35.553555355536
0.084,0.005,595.384884977,0,150,37.803780378038
0.094,0.01,604.720893678,0,150,42.304230423042
0.099,0.005,770.243184134,0,150,44.554455445545
0.104,0.005,773.257245985,0,150,46.804680468047
0.109,0.005,920.26921284,0,150,49.054905490549
0.114,0.005,923.983971972,0,150,51.305130513051
0.124,0.01,931.1728532,0,150,55.805580558056
0.134,0.01,935.968363855,0,150,60.30603060306
0.144,0.01,941.401892306,0,150,64.806480648065
0.154,0.01,946.169348542,0,150,69.306930693069
0.164,0.01,951.184806415,0,150,73.807380738074
0.174,0.01,954.848153139,0,150,78.307830783078
0.184,0.01,958.542392359,0,150,82.808280828083
0.194,0.01,962.227665768,0,150,87.308730873087
0.204,0.01,965.930659528,0,150,91.809180918092
0.214,0.01,969.626772965,0,150,96.309630963096
0.224,0.01,972.659879026,0,150,100.8100810081
0.234,0.01,976.331528231,0,150,105.31053105311
0.244,0.01,980.03674772,0,150,109.81098109811
0.254,0.01,984.406880942,0,150,114.31143114311
0.264,0.01,988.092820876,0,150,118.81188118812
0.274,0.01,991.805494331,0,150,123.31233123312
0.284,0.01,995.491533176,0,150,127.81278127813
0.294,0.01,999.229574705,0,150,132.31323132313
0.304,0.01,1002.932864504,0,150,136.81368136814
0.314,0.01,1005.971610115,0,150,141.31413141314
0.324,0.01,1009.67278982,0,150,145.81458145815
0.3333,0.0092999999999998,1013.384105574,0,150,150
0.3433,0.01,1016.376996851,0,149.85851105531,154.49620495215
0.3533,0.01,1019.389297734,0,149.78626286135,158.99024224172
0.3633,0.01,1021.755148595,0,149.71951894117,163.48227701344
0.3733,0.01,1024.105979024,0,149.65475465172,167.97236866215
0.3833,0.01,1026.452887134,0,149.59109801579,172.4605504208
0.3933,0.01,1028.820827348,0,149.52819488214,176.94684489671
0.4033,0.01,1031.193062394,0,149.46586959622,181.43126942705
0.4133,0.01,1033.548208271,0,149.40402673699,185.91383848607
0.4233,0.01,1035.868726984,0,149.34260919832,190.39456483465
0.4333,0.01,1038.185410377,0,149.28157902797,194.87346009502
0.4433,0.01,1040.537286822,0,149.2209109825,199.350535132
0.4533,0.01,1042.883310972,0,149.16058946623,203.82580034251
0.4633,0.01,1045.223511402,0,149.10060241756,208.29926576157
0.4733,0.01,1047.562131279,0,149.04094221008,212.77094119542
0.4833,0.01,1049.900821503,0,148.9816038308,217.24083629985
0.4933,0.01,1052.255427439,0,148.92258390984,221.70896062958
0.5,0.0066999999999999,1054.596612502,0,148.88318423964,224.70181191793
0.505,0.005,1086.65250684,9464738696.7491,147.20461105856,226.91010191281
0.5075,0.0025,1237.70325912,14201145847.536,146.93881349595,228.01225322916
0.51,0.0025,1255.158321122,18939226774.715,146.78608942848,229.11325900045
0.5103125,0.0003125,1661.729194782,19531506619.175,146.76879216951,229.25086850406
0.510625,0.0003125,1673.855210244,20123802740.716,146.75226515326,229.38846251204
0.51125,0.000625,1678.323541177,21308448261.93,146.72232645438,229.66359438733
0.51140625,0.00015625,2046.725298248,21604612654.145,146.71507306313,229.73237395578
0.5115625,0.00015625,2049.727875541,21900779829.919,146.70796441031,229.80115019172
0.511875,0.0003125,2052.093680487,22493124260.97,146.69433601637,229.93868988571
0.5125,0.000625,2056.925690334,23677847118.302,146.66909678167,230.21372194538
0.51375,0.00125,2062.124780682,26047375955.062,146.62374101517,230.76361596359
0.51625,0.0025,2077.228919983,30786463522.373,146.54590274899,231.86282015463
0.52125,0.005,2086.954066726,40263360108.253,146.42009328285,234.05934120597
0.53125,0.01,2094.923934411,59206094856.274,146.22558355244,238.44654743317
0.54125,0.01,2102.873417881,78133467516.526,146.06625724333,242.82897339307
0.55125,0.01,2108.680300468,97042280288.054,145.92435956566,247.2071419969
0.56125,0.01,2113.461394181,115929426296.82,145.78733750143,251.58119952769
0.57125,0.01,2118.932514222,134791201200.37,145.64336629158,255.95093749024
0.58125,0.01,2125.507029576,153622767665.41,145.47968923067,260.31576464987
0.59125,0.01,2129.233179631,172417739298.23,145.28213832035,264.67466468949
0.60125,0.01,2134.444517166,191167827618.34,145.03490037462,269.02614684894
0.60625,0.005,2222.636152801,200530455446.17,144.8974972463,271.19982667562
0.61125,0.005,2232.153501319,209879374614.5,144.74389366825,273.3712022182
0.61375,0.0025,2441.537242764,214550234611.89,144.66274996094,274.45628135082
0.61625,0.0025,2443.876601105,219217314327.9,144.57706212833,275.54071776042
0.6175,0.00125,2653.572269737,221549885907.4,144.53297874478,276.082770636
0.61875,0.00125,2655.947575405,223881465145.46,144.4876986799,276.62465369436
0.619375,0.000625,2861.599425902,225047003828.91,144.46473732672,276.89555216669
0.62,0.000625,2863.944838024,226212288472.08,144.44148266246,277.16640703217
0.62125,0.00125,2866.297622227,228541816598.26,144.39368555542,277.70793750605
0.621875,0.000625,3086.0864685,229706317542.53,144.36944695903,277.97865729108
0.6225,0.000625,3088.419127742,230870552339.22,144.34491100065,278.24933106658
0.62375,0.00125,3090.732432834,233197933262.6,144.2945831457,278.79048986926
0.625,0.00125,3195.119716361,235524201515.94,144.24292470841,279.33145493342
0.62625,0.00125,3198.173323295,237849326644.94,144.18959117745,279.87221997684
0.6275,0.00125,3313.746175303,240173278216.35,144.13459077549,280.41277874812
0.62875,0.00125,3319.832763425,242496025511.2,144.07790932836,280.95312494273
0.63,0.00125,3451.498372095,244817539302.04,144.01962535752,281.49325255058
0.63125,0.00125,3454.497764381,247137789645.48,143.95969184288,282.03315538527
0.6325,0.00125,3571.039229023,249456744321.61,143.8979797736,282.57282677656
0.63375,0.00125,3573.350868278,251774369983.24,143.83442697283,283.11225982101
0.635,0.00125,3700.880061804,254090630855.12,143.76889080835,283.65144708027
0.63625,0.00125,3703.176046115,256405490976.03,143.70135603986,284.19038105882
