pressure, temperature,viscosity,density, enthalpy, internal_energy
100000,533.333,0.0002504,951.9634,2994812.893,2749448.785
100000,536.111,0.000250095,951.4078,3000351.759,2753693.824
100000,538.889,0.000249797,950.8522,3005893.949,2757942.444
100000,541.667,0.000249505,950.2966,3011439.524,2762194.698
100000,544.444,0.00024922,949.7412,3016986.543,2766449.104
100000,547.222,0.000248941,949.1856,3022539.059,2770708.775
100000,550,0.000248668,948.63,3028095.129,2774972.226
604040,275,0.001,1003.88202,8368.557481,7764.632913
604040,277.778,0.001,1003.32642,20056.05009,19452.14266
604040,280.556,0.001,1002.77082,31725.43315,31121.47018
604040,283.333,0.001,1002.21542,43376.2854,42772.2001
604040,286.111,0.001,1001.65982,55019.91647,54415.64694
604040,288.889,0.001,1001.10422,66654.40698,66049.89558
604040,291.667,0.001,1000.54862,78281.55465,77676.74736
604040,294.444,0.000912879,999.99322,89898.61568,89293.46179
604040,297.222,0.000775894,999.43762,101515.1278,100909.5791
604040,300,0.00068203,998.88202,113127.8805,112521.8911
604040,302.778,0.000614194,998.32642,124737.7014,124131.2278
604040,305.556,0.00056313,997.77082,136345.3117,135738.3119
604040,308.333,0.000523449,997.21542,147947.1768,147339.611
604040,311.111,0.000491784,996.65982,159552.2389,158944.0681
604040,313.889,0.000465984,996.10422,171156.8663,170548.053
604040,316.667,0.000444585,995.54862,182761.5757,182152.0836
604040,319.444,0.000426575,994.99322,194362.6859,193752.48
604040,322.222,0.000411209,994.43762,205969.0331,205358.0787
604040,325,0.000397958,993.88202,217576.9108,216965.1743
604040,327.778,0.00038642,993.32642,229186.782,228574.2307
604040,330.556,0.000376286,992.77082,240799.1043,240185.706
604040,333.333,0.000367321,992.21542,252410.1494,251795.8727
604040,336.111,0.00035933,991.65982,264028.7296,263413.5432
604040,338.889,0.000352167,991.10422,275651.112,275034.9853
604040,341.667,0.000345711,990.54862,287277.7425,286660.6453
604040,344.444,0.000339865,989.99322,298904.8774,298286.7802
604040,347.222,0.000334543,989.43762,310541.3337,309922.2065
604040,350,0.000329681,988.88202,322183.3678,321563.1814
604040,352.778,0.000325222,988.32642,333831.4218,333210.1471
604040,355.556,0.000321117,987.77082,345485.9382,344863.5462
604040,358.333,0.000317329,987.21542,357143.1609,356519.6232
604040,361.111,0.000313819,986.65982,368811.9295,368187.2171
604040,363.889,0.000310559,986.10422,380488.4939,379862.5782
604040,366.667,0.000307524,985.54862,392173.303,391546.1552
604040,369.444,0.000304692,984.99322,403862.5978,403234.19
604040,372.222,0.000302042,984.43762,415565.2535,414935.5565
604040,375,0.000299557,983.88202,427277.5236,426646.5088
604040,377.778,0.000297224,983.32642,438999.8756,438367.514
604040,380.556,0.000295028,982.77082,450732.7837,450099.0465
604040,383.333,0.000292958,982.21542,462472.5005,461837.3591
604040,386.111,0.000291003,981.65982,474227.972,473591.3965
604040,388.889,0.000289154,981.10422,485995.4739,485357.4348
604040,391.667,0.000287402,980.54862,497775.5183,497135.9858
604040,394.444,0.000285742,979.99322,509564.382,508923.3266
604040,397.222,0.000284164,979.43762,521371.0931,520728.4838
604040,400,0.000282663,978.88202,533191.9613,532547.7673
604040,402.778,0.000281234,978.32642,545027.5547,544381.745
604040,405.556,0.000279872,977.77082,556878.4589,556231.0018
604040,408.333,0.000278572,977.21542,568741.003,568091.8671
604040,411.111,0.00027733,976.65982,580624.3539,579973.5061
604040,413.889,0.000276142,976.10422,592524.8875,591872.2947
604040,416.667,0.000275005,975.54862,604443.2712,603788.8999
604040,419.444,0.000273916,974.99322,616375.8962,615719.7127
604040,422.222,0.000272871,974.43762,628332.0733,627674.0422
604040,425,0.000271869,973.88202,640308.2533,639648.339
604040,427.778,0.000270905,973.32642,652305.2097,651643.376
604040,430.556,0.000269979,972.77082,664323.7466,663659.9564
604040,433.333,0.000269089,972.21542,2759121.354,2569095.271
604040,436.111,0.000268231,971.65982,2765905.21,2574332.549
604040,438.889,0.000267405,971.10422,2772584.854,2579481.076
604040,441.667,0.000266608,970.54862,2779178.921,2584557.268
604040,444.444,0.00026584,969.99322,2785698.758,2589571.348
604040,447.222,0.000265098,969.43762,2792159.274,2594535.866
604040,450,0.000264381,968.88202,2798565.889,2599455.79
604040,452.778,0.000263688,968.32642,2804924.656,2604336.371
604040,455.556,0.000263018,967.77082,2811240.396,2609181.772
604040,458.333,0.00026237,967.21542,2817514.783,2613993.64
604040,461.111,0.000261743,966.65982,2823755.612,2618778.242
604040,463.889,0.000261135,966.10422,2829963.411,2623536.217
604040,466.667,0.000260546,965.54862,2836140.606,2628269.623
604040,469.444,0.000259975,964.99322,2842287.133,2632978.58
604040,472.222,0.000259422,964.43762,2848409.341,2637668.099
604040,475,0.000258884,963.88202,2854506.754,2642337.944
604040,477.778,0.000258362,963.32642,2860580.968,2646989.456
604040,480.556,0.000257855,962.77082,2866633.454,2651623.868
604040,483.333,0.000257363,962.21542,2872663.409,2656240.661
604040,486.111,0.000256884,961.65982,2878676.445,2660844.223
604040,488.889,0.000256419,961.10422,2884671.577,2665433.884
604040,491.667,0.000255966,960.54862,2890649.919,2670010.575
604040,494.444,0.000255525,959.99322,2896610.375,2674573.528
604040,497.222,0.000255096,959.43762,2902558.222,2679126.854
604040,500,0.000254678,958.88202,2908492.24,2683669.682
604040,502.778,0.000254271,958.32642,2914413.305,2688202.744
604040,505.556,0.000253874,957.77082,2920322.245,2692726.732
604040,508.333,0.000253488,957.21542,2926217.722,2697240.673
604040,511.111,0.000253111,956.65982,2932104.719,2701748.437
604040,513.889,0.000252743,956.10422,2937981.814,2706248.98
604040,516.667,0.000252384,955.54862,2943849.668,2710742.855
604040,519.444,0.000252033,954.99322,2949706.802,2715228.972
604040,522.222,0.000251691,954.43762,2955558.029,2719711.059
604040,525,0.000251357,953.88202,2961401.803,2724187.969
604040,527.778,0.00025103,953.32642,2967238.658,2728660.149
604040,530.556,0.000250711,952.77082,2973069.103,2733128.021
604040,533.333,0.0002504,952.21542,2978891.523,2737590.382
604040,536.111,0.000250095,951.65982,2984710.571,2742050.828
604040,538.889,0.000249797,951.10422,2990524.583,2746508.112
604040,541.667,0.000249505,950.54862,2996333.972,2750962.579
604040,544.444,0.00024922,949.99322,3002137.043,2755412.955
604040,547.222,0.000248941,949.43762,3007938.349,2759862.756
604040,550,0.000248668,948.88202,3013736.154,2764310.674
1108080,275,0.001,1004.13404,8876.91413,7769.325602
1108080,277.778,0.001,1003.57844,20558.1171,19450.55488
1108080,280.556,0.001,1003.02284,32221.67809,31114.00947
1108080,283.333,0.001,1002.46744,43867.10571,42759.20874
1108080,286.111,0.001,1001.91184,55505.64657,54397.40818
1108080,288.889,0.001,1001.35624,67135.33439,66026.64928
1108080,291.667,0.001,1000.80064,78757.92625,77648.69577
1108080,294.444,0.000912879,1000.24524,90370.64593,89260.7774
1108080,297.222,0.000775894,999.68964,101982.9995,100872.4048
1108080,300,0.00068203,999.13404,113591.7538,112480.3492
1108080,302.778,0.000614194,998.57844,125197.7159,124085.4217
1108080,305.556,0.00056313,998.02284,136801.5893,135688.329
1108080,308.333,0.000523449,997.46744,148399.8255,147285.526
1108080,311.111,0.000491784,996.91184,160001.3509,158885.941
1108080,313.889,0.000465984,996.35624,171602.5231,170485.9344
1108080,316.667,0.000444585,995.80064,183203.849,182086.015
1108080,319.444,0.000426575,995.24524,194801.639,193682.4957
1108080,322.222,0.000411209,994.68964,206404.7191,205284.203
1108080,325,0.000397958,994.13404,218009.3762,216887.4261
1108080,327.778,0.00038642,993.57844,229616.0668,228492.6227
1108080,330.556,0.000376286,993.02284,241225.2423,240100.2453
1108080,333.333,0.000367321,992.46744,252833.1697,251706.5625
1108080,336.111,0.00035933,991.91184,264448.6539,263320.3791
1108080,338.889,0.000352167,991.35624,276067.9579,274937.9596
1108080,341.667,0.000345711,990.80064,287691.523,286559.7459
1108080,344.444,0.000339865,990.24524,299315.6022,298181.9923
1108080,347.222,0.000334543,989.68964,310949.0059,309813.5085
1108080,350,0.000329681,989.13404,322587.9875,321450.549
1108080,352.778,0.000325222,988.57844,334232.9853,333093.5524
1108080,355.556,0.000321117,988.02284,345884.4376,344742.9575
1108080,358.333,0.000317329,987.46744,357538.5857,356395.0065
1108080,361.111,0.000313819,986.91184,369204.2635,368058.532
1108080,363.889,0.000310559,986.35624,380877.7181,379729.7819
1108080,366.667,0.000307524,985.80064,392559.3947,391409.2016
1108080,369.444,0.000304692,985.24524,404245.5321,403093.0305
1108080,372.222,0.000302042,984.68964,415944.9991,414790.1359
1108080,375,0.000299557,984.13404,427654.0471,426496.7697
1108080,377.778,0.000297224,983.57844,439373.1396,438213.3953
1108080,380.556,0.000295028,983.02284,451102.7471,449940.4831
1108080,383.333,0.000292958,982.46744,462839.1198,461674.2837
1108080,386.111,0.000291003,981.91184,474591.1972,473423.7346
1108080,388.889,0.000289154,981.35624,486355.2523,485185.109
1108080,391.667,0.000287402,980.80064,498131.793,496958.9148
1108080,394.444,0.000285742,980.24524,509917.0935,508741.4262
1108080,397.222,0.000284164,979.68964,521720.1749,520541.6619
1108080,400,0.000282663,979.13404,533537.3436,532355.9287
1108080,402.778,0.000281234,978.57844,545369.1633,544184.7897
1108080,405.556,0.000279872,978.02284,557216.2147,556028.8246
1108080,408.333,0.000278572,977.46744,569074.8234,567884.3594
1108080,411.111,0.00027733,976.91184,580954.1483,579760.5499
1108080,413.889,0.000276142,976.35624,592850.5614,591653.7682
1108080,416.667,0.000275005,975.80064,604764.7245,603564.675
1108080,419.444,0.000273916,975.24524,616693.0243,615489.6573
1108080,422.222,0.000272871,974.68964,628644.7625,627438.0132
1108080,425,0.000271869,974.13404,640616.385,639406.1883
1108080,427.778,0.000270905,973.57844,652608.6583,651394.9481
1108080,430.556,0.000269979,973.02284,664622.3794,663405.0881
1108080,433.333,0.000269089,972.46744,676654.0407,675433.1006
1108080,436.111,0.000268231,971.91184,688713.1706,687488.5095
1108080,438.889,0.000267405,971.35624,700796.3398,699567.8854
1108080,441.667,0.000266608,970.80064,712904.486,711672.1641
1108080,444.444,0.00026584,970.24524,725034.2148,723797.9509
1108080,447.222,0.000265098,969.68964,737195.283,735954.9975
1108080,450,0.000264381,969.13404,749384.3941,748140.007
1108080,452.778,0.000263688,968.57844,761602.6632,760354.0921
1108080,455.556,0.000263018,968.02284,773851.2567,772598.417
1108080,458.333,0.00026237,967.46744,2783110.287,2587384.035
1108080,461.111,0.000261743,966.91184,2790653.92,2593237.596
1108080,463.889,0.000261135,966.35624,2798031.683,2598949.871
1108080,466.667,0.000260546,965.80064,2805274.452,2604548.019
1108080,469.444,0.000259975,965.24524,2812402.281,2610049.901
