time,dt,elapsed,heat_out_cumulative,produced_T,produced_T_cumulative
0,0,0,0,28.4,0
0.001,0.001,6.668794324,0,90,0.27002700270027
0.003,0.002,10.596108134,0,90,0.81008100810081
0.007,0.004,13.336830534,0,90,1.8901890189019
0.015,0.008,17.780025262,0,90,4.0504050405041
0.025,0.01,28.399568708,0,90,6.7506750675067
0.035,0.01,31.683586362,0,90,9.4509450945094
0.045,0.01,34.359079137,0,90,12.151215121512
0.055,0.01,37.033206495,0,90,14.851485148515
0.065,0.01,39.702329672,0,90,17.551755175518
0.075,0.01,42.363653525,0,90,20.25202520252
0.085,0.01,45.055644424,0,90,22.952295229523
0.095,0.01,48.274464121,0,90,25.652565256526
0.105,0.01,50.965877137,0,90,28.352835283528
0.115,0.01,53.666960709,0,90,31.053105310531
0.125,0.01,56.326052256,0,90,33.753375337534
0.135,0.01,59.039019938,0,90,36.453645364536
0.145,0.01,61.679620976,0,90,39.153915391539
0.155,0.01,64.279700727,0,90,41.854185418542
0.165,0.01,66.376316041,0,90,44.554455445545
0.175,0.01,69.083174851,0,90,47.254725472547
0.185,0.01,71.187022678,0,90,49.95499549955
0.195,0.01,73.243004139,0,90,52.655265526553
0.205,0.01,75.424518996,0,90,55.355535553555
0.215,0.01,78.114687204,0,90,58.055805580558
0.225,0.01,80.820270929,0,90,60.756075607561
0.235,0.01,82.967578681,0,90,63.456345634563
0.245,0.01,85.106644486,0,90,66.156615661566
0.255,0.01,87.805479145,0,90,68.856885688569
0.265,0.01,90.465172555,0,90,71.557155715572
0.275,0.01,92.524809434,0,90,74.257425742574
0.285,0.01,94.618055537,0,90,76.957695769577
0.295,0.01,96.736463698,0,90,79.65796579658
0.305,0.01,100.000008643,0,90,82.358235823582
0.315,0.01,102.685183893,0,90,85.058505850585
0.325,0.01,104.791633106,0,90,87.758775877588
0.3333,0.0082999999999999,106.879374414,0,90,90
0.3433,0.01,108.954424463,0,89.93336765882,92.69827085685
0.3533,0.01,111.07143152,0,89.922200745051,95.396206672783
0.3633,0.01,113.200858667,0,89.915271135798,98.093934579648
0.3733,0.01,115.303747088,0,89.909757320315,100.79149705551
0.3833,0.01,117.41808331,0,89.904922053302,103.48891445884
0.3933,0.01,119.54614343,0,89.90047302469,106.18619837798
